0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,19
1/1/2015,ANTIOQUIA,AMAGÁ,Jueves,6:00:00,EL VOLCAN,RURAL,TIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,44,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,5030000,,1
1/1/2015,ANTIOQUIA,BARBOSA,Jueves,9:00:00,VDA. MATASANOS,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,SOLTERO,-,DESEMPLEADO,-,SECUNDARIA,5079000,,1
1/1/2015,ANTIOQUIA,EL BAGRE,Jueves,19:00:00,PUERTO CLAVER,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,PRIMARIA,5250000,,1
1/1/2015,ANTIOQUIA,JARDÍN,Jueves,11:20:00,CRISTIANIA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,CASADO,COLOMBIA,AGRICULTOR,-,PRIMARIA,5364000,,1
1/1/2015,ANTIOQUIA,MEDELLÍN (CT),Jueves,15:00:00,PICACHITO C-6,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,CONTUNDENTES,A PIE,A PIE,66,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,PRIMARIA,5001000,,1
1/1/2015,ANTIOQUIA,MEDELLÍN (CT),Jueves,11:00:00,CRISTO REY C-15,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,5001000,,1
1/1/2015,ANTIOQUIA,MEDELLÍN (CT),Jueves,19:35:00,LA SALLE  C-3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,CASADO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,,1
1/1/2015,ANTIOQUIA,MEDELLÍN (CT),Jueves,20:35:00,KENNEDY C-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,,1
1/1/2015,ANTIOQUIA,MEDELLÍN (CT),Jueves,0:47:00,CORDOBA C-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,5001000,,1
1/1/2015,ANTIOQUIA,MUTATÁ,Jueves,14:00:00,VDA CASA ROJA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,30,MASCULINO,SOLTERO,-,ETNIA INDIGENA,-,SECUNDARIA,5480000,,1
